Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
9.115,41.683,47,45,11985,255.0,0.0,255.0,255.0,255.0,572.106,606.553,4.391968424766885,1.266,0.431,1.308,572.106,606.553,5.447,570,605,2,5,5,8
93.09,159.894,480,229,122400,255.0,0.0,255.0,255.0,255.0,454.896,270.962,5.540142806943426,2.588,0.323,2.593,454.896,270.963,9.308,450,268,3,10,8,13
131.102,268.118,676,376,172380,255.0,0.0,255.0,255.0,255.0,958.516,171.82,6.076263637624756,3.294,1.059,3.214,958.515,171.82,8.417,951,168,4,18,11,11
10.279,33.751,53,41,13515,255.0,0.0,255.0,255.0,255.0,327.698,898.434,11.186269576209874,1.145,0.182,1.132,327.698,898.434,6.34,326,897,4,4,4,6
294.591,399.868,1519,605,387345,255.0,0.0,255.0,255.0,255.0,349.521,970.759,23.63348217389443,4.029,0.847,3.995,349.522,970.768,15.834,345,963,4,10,19,23
242.228,325.547,1249,478,318495,255.0,0.0,255.0,255.0,255.0,845.716,1000.359,22.640894416347983,3.734,0.636,3.714,845.712,1000.364,13.193,840,994,4,12,14,21
246.107,310.447,1269,455,323595,255.0,0.0,255.0,255.0,255.0,237.258,1013.416,19.783857492463767,3.675,0.43,3.671,237.259,1013.41,13.011,231,1008,4,13,14,18
267.246,410.325,1378,668,351390,255.0,0.0,255.0,255.0,255.0,647.568,166.34,16.639974231214854,4.479,1.571,4.749,647.57,166.34,19.092,639,163,5,17,10,27
132.072,212.132,681,352,173655,255.0,0.0,255.0,255.0,255.0,480.01,207.191,5.676116375282178,3.177,0.963,3.078,480.011,207.191,10.06,472,205,5,17,6,12
13.964,47.267,72,55,18360,255.0,0.0,255.0,255.0,255.0,955.625,292.597,5.015818482738921,1.367,0.375,1.309,955.625,292.597,6.917,953,291,5,7,4,5
278.301,332.365,1435,540,365925,255.0,0.0,255.0,255.0,255.0,585.093,921.213,21.732607643409338,3.847,0.527,3.781,585.093,921.207,14.194,580,913,5,11,16,18
294.397,363.92,1518,557,387090,255.0,0.0,255.0,255.0,255.0,930.362,961.988,24.392787063011333,3.984,0.675,3.977,930.366,961.995,14.286,922,956,5,17,13,21
280.628,336.408,1447,502,368985,255.0,0.0,255.0,255.0,255.0,429.368,992.746,22.634984898251545,3.898,0.552,3.93,429.368,992.749,13.631,422,987,5,14,14,17
